employee_id,job_role,department,tenure_years,monthly_income,overtime_hours,travel_frequency,job_satisfaction,manager_rating,training_hours,work_life_balance_score,remote_friendly_role,attrition,age,gender,ethnicity,marital_status,disability_status,commute_distance_km
10033,Consultant,Operations,1.16,3997.31,7.9,Frequent,2,3,17,2,0,0,36,Female,Mixed,Married,,15.2
10034,Developer,Finance,1.88,2719.08,36.1,,2,4,47,2,0,1,43,Male,White,Married,Mental,17.2
10035,Developer,Operations,8.6,2489.12,7.9,Occasional,5,1,6,1,0,1,50,Female,White,Divorced,,16.8
10036,Operations,HR,8.05,2793.62,10.9,Frequent,2,3,27,1,0,1,21,Male,White,Widowed,Physical,9.7
10037,Analyst,HR,0.7,3132.2,2.8,Occasional,5,4,45,4,1,0,64,Male,Black,Widowed,,10.4
10038,Manager,Operations,1.33,4439.93,36.1,Occasional,2,3,35,2,0,1,55,Other,White,Single,Other,17.9
10039,Manager,HR,0.49,3045.14,32.6,Frequent,2,5,2,4,1,0,41,Other,Asian,Widowed,,16.0
10040,Operations,Finance,2.14,6095.79,5.0,,2,4,43,1,1,1,48,Male,White,Widowed,Physical,18.8
10041,Finance,Technology,1.85,5232.58,13.5,Frequent,5,4,15,1,0,0,51,Other,Mixed,Widowed,Mental,21.3
10042,Finance,HR,6.93,4970.03,12.6,Frequent,2,4,35,4,0,0,51,Other,White,Divorced,,19.0
10043,Operations,HR,7.98,3856.41,11.7,,4,3,3,4,1,0,19,Other,Mixed,Single,Mental,15.6
10044,Finance,Operations,1.45,5817.14,58.2,F,4,4,34,1,1,1,60,Female,Mixed,Divorced,,4.9
10045,Developer,Finance,2.03,3738.39,11.6,0,4,5,8,5,0,0,25,Female,Other,Widowed,Mental,11.4
10046,Manager,Technology,6.8,3962.49,8.3,,4,1,55,1,1,1,38,Male,Black,Divorced,,5.9
10047,Operations,Operations,4.93,4203.97,3.1,Frequent,4,1,45,2,1,1,29,Other,Mixed,Single,,16.0
10048,Manager,Operations,0.01,4842.19,8.6,Frequent,1,2,11,1,1,1,53,Other,Mixed,Married,,6.2
10049,Consultant,Finance,1.16,4764.29,43.2,,2,5,9,3,0,1,18,Other,Asian,Single,,21.1
10050,Developer,Technology,1.64,3429.85,20.0,,3,5,45,1,1,1,59,Female,White,Widowed,,19.2
10051,HR,Finance,0.78,3360.41,20.1,,1,4,43,5,1,1,56,Male,Black,Widowed,,11.9
10052,Developer,Technology,0.67,4767.88,9.1,,5,2,43,2,0,0,33,Other,Black,Single,Physical,14.4
10053,Operations,Finance,0.12,4858.28,38.7,,1,5,1,1,1,1,23,Female,Other,Married,,30.8
10054,HR,Operations,3.09,3527.98,25.2,Frequent,3,5,18,4,0,0,50,Female,Mixed,Married,,15.1
10055,Consultant,Operations,0.91,2095.37,11.9,Occasional,1,5,12,2,0,1,60,Other,Mixed,Married,,14.8
10056,Operations,Consulting,0.16,3751.22,7.2,Frequent,2,3,41,2,1,1,30,Other,Asian,Single,,8.6
10057,Analyst,HR,0.79,4748.23,16.0,Occasional,4,5,54,5,1,0,62,Female,Black,Widowed,,30.6
10058,Manager,Finance,4.86,6166.5,7.7,,2,3,52,4,1,0,26,Female,White,Widowed,,15.2
10059,Consultant,Consulting,5.72,2562.45,14.6,Frequent,1,5,32,3,1,0,52,Male,Other,Widowed,Physical,4.7
10060,Manager,HR,1.98,3488.11,18.7,Occasional,3,1,0,1,0,0,45,Female,Other,Divorced,,24.2
10061,Finance,Finance,1.61,3532.72,9.4,,5,3,27,3,1,0,51,Female,Other,Widowed,,3.0
10062,Analyst,Technology,11.43,5626.97,1.4,Frequent,2,3,39,4,1,1,49,Male,Other,Married,,27.8
10063,Analyst,HR,0.67,3958.07,23.1,Occasional,3,4,5,2,0,0,18,Female,Black,Divorced,,24.1
10064,Consultant,Operations,0.73,2911.21,9.7,Frequent,5,5,51,5,1,0,56,Female,Mixed,Single,,13.0
10065,Analyst,Consulting,1.04,4670.43,18.6,Occasional,4,2,2,5,0,0,42,Male,Black,Married,,26.0
10066,HR,HR,0.57,3514.43,15.1,Frequent,2,2,44,2,1,1,27,Male,White,Single,,3.5
10067,Analyst,HR,1.43,2530.74,51.7,Frequent,2,2,24,5,1,1,19,Other,Other,Widowed,,30.5
10068,Manager,Operations,7.25,2928.67,17.1,Occasional,4,2,56,3,0,0,21,Female,Black,Divorced,,4.8
10069,Manager,Finance,2.87,6080.85,32.4,Frequent,4,1,43,2,1,1,42,Other,White,Single,,10.9
10070,Operations,Technology,1.59,4461.05,12.4,Frequent,1,2,51,1,1,0,33,Male,Asian,Married,Other,26.0
10071,Manager,Operations,8.17,4129.31,7.9,,5,4,15,1,0,0,57,Female,Other,Married,,23.3
10072,Operations,Technology,0.15,3700.13,23.9,Occasional,3,2,42,4,0,0,61,Male,Mixed,Single,,21.2
10073,Manager,Finance,0.71,4350.58,9.1,Frequent,4,4,55,2,0,1,22,Female,Mixed,Widowed,,9.4
10074,HR,HR,2.5,4336.28,28.5,Occasional,1,3,3,3,0,0,40,Other,Mixed,Divorced,,19.7
10075,Operations,Technology,2.87,4350.6,5.6,Frequent,5,5,7,2,1,1,37,Female,White,Widowed,,36.2
10076,Developer,Consulting,0.12,4137.81,21.6,Occasional,5,2,38,2,0,0,20,Male,Black,Widowed,,17.8
10077,Finance,Consulting,1.55,5042.56,16.7,Occasional,2,4,15,3,1,0,18,Female,Other,Widowed,Physical,15.5
10078,Consultant,Operations,3.14,4027.73,45.2,,1,4,43,5,0,0,63,Other,Other,Single,Physical,22.2
10079,Manager,Finance,3.59,2826.47,23.3,,1,5,37,3,0,1,42,Other,Other,Widowed,,33.2
10080,Analyst,Operations,3.05,3265.09,15.3,Occasional,2,3,22,2,0,1,33,Other,Other,Single,,11.1
10081,Manager,Operations,1.16,1625.18,30.0,Frequent,3,2,5,2,0,1,58,Male,Asian,Married,Physical,13.1
10082,Analyst,Operations,0.29,6432.18,1.3,Occasional,4,4,42,2,0,0,22,Female,Other,Married,,20.2
10083,Finance,Consulting,1.67,5035.31,25.4,Frequent,2,2,43,2,0,1,53,Female,Asian,Married,,12.8
10084,Finance,Consulting,0.41,3003.92,27.0,Occasional,4,1,15,4,1,1,23,Male,Black,S,,5.9
10085,Finance,Operations,8.85,3661.79,29.2,,1,4,53,5,1,0,29,Other,Mixed,Single,,12.5
10086,Analyst,Consulting,1.93,3235.75,27.8,,2,3,15,2,1,0,63,Male,Asian,Divorced,,18.5
10087,Manager,Finance,1.14,5851.06,24.6,Frequent,3,5,22,4,0,1,40,Female,Mixed,Widowed,,6.3
10088,Finance,Operations,4.36,2296.15,12.8,Occasional,4,4,15,2,0,0,63,Female,Mixed,Single,,5.9
10089,HR,Consulting,2.07,4137.37,19.0,Frequent,4,1,35,5,0,1,55,Female,White,Single,0,14.8
10090,Operations,Technology,1.11,3869.77,10.2,,4,5,11,5,0,0,22,Female,Asian,Widowed,,8.6
10091,Analyst,Operations,5.01,4992.21,8.4,Occasional,1,3,36,3,0,0,19,Female,Other,Divorced,,42.2
10092,Analyst,Operations,6.06,3875.19,13.3,,4,2,8,4,0,0,20,Other,White,Widowed,,14.2
10093,Manager,Finance,3.35,1890.15,14.6,,5,2,17,5,1,1,58,Male,Other,Widowed,,11.7
10094,Analyst,HR,0.14,3698.66,22.4,Occasional,4,4,8,1,1,0,24,Other,Mixed,Married,,18.1
10095,Analyst,HR,2.51,2833.41,40.5,Frequent,1,5,47,2,1,0,43,Female,White,Married,,11.7
10096,Finance,Finance,4.32,4095.5,32.0,Occasional,2,1,20,5,1,1,29,Other,Other,Widowed,,14.7
10097,Manager,Finance,0.44,5721.01,21.1,,4,1,57,4,1,1,62,Male,Other,Divorced,Other,22.2
10098,Finance,Finance,0.78,1912.69,37.2,,4,3,0,4,0,0,18,Female,Black,Divorced,,32.2
10099,Operations,HR,6.42,3039.73,17.2,,2,5,58,4,0,0,18,Other,White,Divorced,,10.1
10100,Operations,Finance,0.06,3336.77,24.9,,5,5,22,3,0,0,50,Male,White,Single,Mental,2.9
10101,Finance,Consulting,4.19,3542.04,12.9,Frequent,1,2,4,2,1,1,56,Other,Mixed,Married,,10.2
10102,Operations,Operations,1.93,4888.15,16.9,Occasional,2,3,18,1,0,1,26,Other,Mixed,Divorced,,15.3
10103,Manager,Operations,1.78,3791.75,13.9,Occasional,1,3,34,4,0,0,18,Male,White,Single,,16.4
10104,Consultant,Technology,0.02,4498.96,3.8,Frequent,2,3,32,2,0,1,32,Female,Black,Widowed,,22.2
10105,Finance,Technology,5.13,3249.07,3.9,Frequent,3,5,54,4,0,0,42,Other,Black,Widowed,,13.9
10106,HR,Operations,1.34,4275.91,5.1,0,5,2,45,4,1,0,61,Female,Mixed,Widowed,,14.0
10107,HR,Consulting,2.33,4933.36,21.2,Occasional,3,3,17,1,1,1,53,Male,Asian,Married,,7.8
10108,Analyst,HR,3.39,3121.24,41.1,Occasional,2,2,39,2,1,1,27,Female,Other,Single,Other,9.6
10109,Operations,HR,3.64,4937.63,37.1,Occasional,2,3,13,4,1,1,48,Other,Mixed,Widowed,,26.0
10110,HR,Consulting,9.37,4062.85,25.1,Frequent,1,5,19,3,0,1,37,Other,Black,Divorced,,24.8
10111,Analyst,HR,2.27,5254.55,11.2,,2,2,51,4,0,1,22,Male,White,Divorced,,27.7
10112,Consultant,Finance,1.53,3758.3,8.2,,1,4,12,2,1,1,45,Other,Black,Divorced,,18.0
10113,Manager,Operations,9.22,4457.49,18.5,Occasional,1,3,58,5,0,0,51,Other,White,Divorced,,11.7
10114,Manager,Operations,3.08,3951.27,10.9,,2,5,52,4,0,0,56,Male,Mixed,Widowed,,11.3
10115,Manager,Consulting,1.06,3884.55,4.7,Frequent,1,2,15,3,1,0,55,Female,Other,Divorced,,35.9
10116,HR,HR,0.41,4310.72,7.1,Frequent,5,1,40,3,0,1,33,Female,Other,Divorced,,41.3
10117,Consultant,Technology,5.55,4644.17,12.8,Occasional,3,5,30,4,0,0,32,Female,Mixed,Widowed,,16.0
10118,HR,Technology,1.35,2500.52,40.2,,2,5,38,2,1,1,58,Female,Other,Single,,9.9
10119,Operations,HR,3.24,5720.36,3.3,Frequent,1,1,34,4,0,1,56,Other,Other,Widowed,,15.4
10120,HR,Technology,1.91,1768.4,5.8,Frequent,1,1,19,3,0,1,59,Female,Asian,Married,,13.4
10121,Consultant,Consulting,0.67,3178.23,13.7,Frequent,1,4,56,4,1,0,43,Male,Asian,Married,Mental,26.7
10122,Consultant,Consulting,2.76,3886.88,9.0,Frequent,1,4,0,3,1,0,47,Male,Asian,Widowed,,4.4
10123,Operations,HR,0.19,4494.83,23.0,,5,4,55,5,0,1,19,Female,White,Married,,11.6
10124,Consultant,Technology,1.6,5891.41,14.0,Frequent,2,5,39,4,1,0,20,Other,Asian,Single,Mental,7.5
10125,Consultant,Consulting,2.37,1770.05,4.6,Frequent,2,5,45,1,0,0,36,Male,Mixed,Single,,17.0
10126,Manager,Consulting,1.72,3390.77,11.1,,5,5,12,4,0,0,41,Male,Asian,Divorced,,17.6
10127,Operations,Finance,4.14,1500.0,19.1,Occasional,5,4,6,3,0,1,20,Other,Mixed,Married,,16.1
10128,Developer,Finance,5.28,4037.95,27.1,Occasional,5,2,44,2,0,0,57,Male,Asian,Single,,5.5
10129,Developer,Consulting,4.43,4326.02,5.7,Frequent,2,5,21,3,0,1,22,Female,Other,Single,,4.5
10130,Consultant,HR,0.12,5908.95,20.1,Occasional,4,5,6,5,0,0,49,Female,Asian,Married,,11.5
10131,Developer,Operations,0.65,4144.76,13.1,,3,5,57,2,0,1,48,Female,Mixed,Widowed,,17.0
10132,Developer,Operations,2.31,5252.83,36.9,Frequent,5,4,19,1,1,1,29,Other,Mixed,Single,,17.1
10133,Consultant,Consulting,8.19,4700.6,11.2,,5,3,51,1,0,0,60,Male,Mixed,Divorced,,11.3
10134,Developer,Consulting,5.4,3477.7,4.7,Occasional,2,4,36,5,0,1,53,Male,Asian,Married,,23.3
10135,HR,Consulting,5.55,2309.25,9.5,Occasional,2,3,35,5,1,0,53,Other,White,Divorced,Other,9.6
10136,Analyst,HR,1.08,4330.0,2.6,Frequent,3,4,3,5,0,0,48,Female,Mixed,Single,,19.1
10137,Operations,Finance,1.68,2209.48,3.3,Occasional,1,2,56,5,0,1,50,Female,White,Single,,9.3
10138,Analyst,Consulting,1.91,5554.25,23.2,Frequent,2,2,5,4,0,0,24,Other,Asian,Single,,3.7
10139,Consultant,Consulting,0.51,3805.53,21.3,Frequent,3,5,45,3,0,1,43,Male,White,Married,,10.4
10140,Manager,Technology,0.09,5434.21,24.1,,2,4,2,4,1,0,43,Female,White,Single,Mental,6.5
10141,Operations,HR,8.81,3423.74,10.3,Occasional,2,3,2,2,0,0,37,Female,Mixed,Widowed,,40.5
10142,Consultant,Consulting,0.83,4322.62,7.3,Occasional,2,3,57,1,0,1,51,Male,Asian,Married,,4.5
10143,Manager,Technology,0.82,4251.22,64.5,Frequent,4,2,55,1,0,1,50,Female,Mixed,Widowed,,13.4
10144,Analyst,Operations,0.26,3945.95,18.3,Frequent,4,5,2,2,0,1,36,Male,Other,Single,,16.9
10145,Consultant,Consulting,7.91,3480.81,6.5,Frequent,5,3,35,1,0,0,34,Male,Black,Divorced,,23.1
10146,Operations,Consulting,2.6,4470.95,43.9,Frequent,4,4,53,5,0,0,60,Female,White,Divorced,Mental,21.6
10147,Operations,Technology,3.3,2888.6,39.7,,3,5,8,5,1,1,54,Female,Asian,Married,,6.2
10148,Finance,HR,7.28,2548.68,25.9,Occasional,2,4,53,5,1,0,23,Male,White,Single,,12.7
10149,HR,Consulting,1.27,5491.39,14.5,,4,4,15,2,1,0,39,Other,Asian,Married,,6.2
10150,Developer,Operations,2.91,4872.6,8.3,Occasional,2,2,50,3,1,1,55,Other,Mixed,Single,,19.3
10151,Manager,Consulting,0.12,4079.07,11.6,,1,4,15,2,0,0,34,Female,Black,Widowed,,3.2
10152,Finance,Operations,0.62,5998.17,36.0,Frequent,5,1,11,3,0,1,37,Male,Black,Widowed,,4.8
10153,Developer,Finance,5.34,3678.68,9.2,,4,5,37,1,0,0,59,Male,Black,Married,,11.1
10154,Developer,Finance,4.37,5587.24,5.5,,2,1,19,1,0,0,59,Male,Black,Widowed,,8.2
10155,Consultant,Operations,1.3,4210.69,25.6,Frequent,1,4,52,1,0,1,58,Other,White,Divorced,,14.1
10156,Developer,HR,1.42,2770.3,16.0,Frequent,5,4,30,3,1,1,43,Female,Asian,Married,,17.9
10157,HR,Consulting,2.29,6217.65,9.5,Occasional,5,2,29,1,1,1,45,Female,Other,Widowed,,7.1
10158,Operations,Consulting,0.0,5188.85,10.2,Occasional,1,2,20,2,0,1,62,Other,Asian,Single,,18.0
10159,Finance,Finance,0.83,3854.77,1.9,,4,2,2,3,0,0,25,Male,White,Married,,15.6
10160,Developer,Operations,0.7,4872.61,10.8,,4,2,20,5,1,0,60,Other,Mixed,Divorced,,14.4
10161,Consultant,Consulting,0.86,3515.56,33.8,,2,3,27,3,0,1,24,Other,Other,Single,Other,12.1
10162,HR,C,4.92,4994.98,7.4,Frequent,3,2,27,2,0,0,24,Female,Other,Divorced,,12.6
10163,Analyst,HR,0.98,1500.0,71.4,Occasional,2,4,4,2,0,1,46,Other,Other,Single,,18.2
10164,Operations,Technology,0.64,2776.24,16.3,,2,4,6,2,0,0,20,Male,White,Single,,10.9
10165,Operations,Finance,2.11,5175.11,4.3,Occasional,2,5,56,1,1,1,33,Other,Black,Divorced,,12.9
10166,Finance,Finance,6.02,3700.41,19.6,Occasional,1,1,4,5,0,0,30,Male,Black,Single,,14.8
10167,Operations,Technology,0.83,4249.05,7.4,Frequent,5,3,8,5,1,0,35,Other,Black,Married,,13.7
10168,Developer,Consulting,0.25,2383.86,26.0,Frequent,5,3,46,4,0,0,61,Male,Asian,Widowed,Other,16.4
10169,Consultant,HR,1.32,6217.44,37.7,,3,5,20,2,1,0,30,Female,Black,Single,Mental,12.4
10170,Operations,HR,4.13,5428.64,29.8,,4,5,19,1,0,1,48,Female,Other,Married,,10.4
10171,Operations,Finance,2.4,3759.18,29.3,,2,2,37,3,1,0,20,Other,Black,Single,,15.8
10172,Analyst,HR,5.09,3514.36,11.6,,1,5,39,1,1,0,47,Female,Other,Divorced,,6.8
10173,Analyst,Technology,9.63,5235.53,7.5,,1,3,51,2,0,1,20,Other,Other,Married,,27.1
10174,Manager,Consulting,4.72,6378.96,23.9,Occasional,2,1,36,1,0,1,43,Male,Asian,Single,,16.6
10175,HR,Technology,2.78,5144.51,8.1,Occasional,1,1,57,2,1,0,19,Male,Black,Divorced,Other,8.8
10176,Developer,Operations,2.04,6606.16,12.0,Frequent,1,3,16,3,0,0,56,Female,Mixed,Single,,9.5
10177,Operations,Finance,0.12,2893.18,8.3,Frequent,2,2,41,3,1,1,51,Other,Black,Married,Mental,23.6
10178,Operations,HR,12.47,3016.74,9.2,Occasional,3,1,27,5,1,1,55,Male,Mixed,Married,,31.5
10179,Consultant,Operations,1.45,2573.27,25.3,Frequent,1,1,30,4,0,0,30,Other,Asian,Widowed,,10.4
10180,Manager,HR,0.5,4530.11,8.8,Frequent,5,2,32,1,1,0,28,Female,White,Single,,7.7
10181,HR,Consulting,3.3,4210.72,25.6,,5,1,31,4,0,1,54,Other,Asian,Married,,13.3
10182,Manager,Consulting,1.0,3817.66,37.5,Frequent,5,4,31,1,0,0,24,Female,Asian,Divorced,,16.1
10183,Finance,Consulting,2.64,4971.11,10.5,Frequent,2,3,47,5,1,0,60,Other,Mixed,Married,,9.9
10184,HR,HR,2.65,5478.79,6.3,Frequent,5,1,55,5,1,0,44,Female,Asian,Single,Physical,25.8
10185,Operations,Operations,1.77,2169.21,32.5,Occasional,4,1,22,3,0,1,24,Other,Other,Married,,7.1
10186,Operations,Consulting,5.43,3283.63,20.5,Occasional,1,2,20,3,1,1,25,Other,Asian,Married,,26.6
10187,HR,Operations,0.92,4984.17,8.5,,3,1,24,3,0,0,53,Other,Asian,Widowed,,29.0
10188,Operations,HR,1.79,3438.71,12.5,Frequent,5,2,32,1,1,1,59,Female,Mixed,Married,,10.1
10189,Developer,Operations,2.31,3042.15,21.8,Occasional,2,3,2,4,0,0,46,Other,Asian,Single,,32.4
10190,HR,HR,3.27,5222.24,3.7,,3,4,5,4,0,1,38,Female,Asian,Single,Mental,9.9
10191,Manager,HR,4.6,2452.6,48.4,Frequent,2,5,48,3,0,1,43,Male,Black,Married,,9.1
10192,HR,Finance,1.51,3638.1,30.7,,3,3,27,5,0,0,37,Other,Other,Married,,13.3
10193,Operations,HR,3.12,4394.37,16.5,,3,1,53,4,0,1,46,Other,Other,Married,Other,6.0
10194,Developer,HR,0.49,3311.42,46.8,Frequent,1,4,1,5,1,1,32,Female,Other,Divorced,,30.2
10195,Developer,Technology,8.09,4939.79,41.7,Occasional,3,5,31,3,1,0,40,Other,Asian,Single,,31.4
10196,Finance,Consulting,1.45,3317.35,14.1,Frequent,4,5,25,1,0,1,32,Other,Other,Single,,12.8
10197,Manager,Finance,3.92,5690.34,13.2,Frequent,4,1,4,2,0,1,27,Male,Black,Single,Other,5.4
10198,Analyst,Finance,0.06,3849.1,13.6,Frequent,4,5,10,4,0,1,19,Other,White,Single,,6.8
10199,Analyst,Finance,0.69,4805.52,24.5,Occasional,2,5,9,3,1,0,47,Other,White,Divorced,,4.1
10200,HR,Technology,2.0,4895.23,23.1,Frequent,1,3,14,3,0,0,54,Male,Black,Single,,21.4
10201,Finance,HR,6.32,3246.95,2.6,Occasional,2,3,17,4,0,0,44,Female,White,Widowed,,9.9
10202,Consultant,Consulting,2.25,1535.82,22.0,,5,5,48,2,1,1,34,Male,White,Married,Mental,13.4
10203,HR,Operations,7.97,4432.91,21.9,Occasional,4,2,13,1,0,1,20,Male,Mixed,Single,,12.0
10204,Finance,HR,1.98,4086.75,13.8,,1,1,27,4,0,1,25,Other,Asian,Married,,14.9
10205,Manager,Technology,2.02,4666.99,17.3,,4,2,29,1,0,0,60,Other,Mixed,Single,,12.0
10206,Manager,HR,0.38,3728.17,3.2,Frequent,1,2,59,3,1,1,54,Female,Mixed,Divorced,,16.5
10207,Manager,HR,4.87,3483.49,5.4,Occasional,2,5,12,4,1,0,21,Female,Black,Divorced,,14.2
10208,Manager,Technology,0.85,6410.17,8.1,,2,1,19,1,1,0,41,Female,White,Widowed,,6.7
10209,Manager,Finance,6.9,2233.18,24.7,,4,2,1,5,0,0,46,Male,Black,Divorced,,21.1
10210,Finance,Finance,7.25,4880.74,38.8,Occasional,3,3,24,5,1,1,25,Male,Other,Divorced,,20.2
10211,Finance,Consulting,8.61,3310.48,23.5,Occasional,1,3,43,5,1,1,51,Male,Mixed,Divorced,,4.5
10212,Developer,Consulting,2.2,3597.07,18.0,,5,1,58,1,0,0,26,Female,White,Single,,11.9
10213,Analyst,Finance,3.39,3619.48,27.4,,3,2,42,5,1,1,34,Female,Asian,Married,,12.3
10214,Operations,Operations,4.52,3035.88,0.9,Occasional,2,4,50,3,1,0,27,Other,Mixed,Widowed,,15.2
10215,Manager,HR,0.42,4685.47,36.6,Occasional,1,4,11,1,1,0,41,Male,White,Married,,13.7
10216,Consultant,Operations,2.76,5668.77,14.8,,3,1,24,3,1,0,62,Other,Other,Widowed,,11.8
10217,Operations,HR,0.1,4564.02,33.5,Frequent,5,1,3,2,1,0,39,Female,Black,Widowed,,1.8
10218,Finance,Finance,2.06,4124.06,26.1,Occasional,3,4,41,1,1,0,34,Other,White,Single,,15.6
10219,Consultant,Consulting,0.5,2816.27,8.5,,5,2,11,5,0,0,48,Male,White,Married,,4.9
10220,Consultant,Consulting,0.61,4620.19,19.7,,2,2,6,5,1,1,61,Female,Mixed,Married,,17.0
10221,Consultant,Operations,1.36,6587.62,9.2,Frequent,1,5,54,2,1,1,26,Male,White,Married,,3.3
10222,Developer,Consulting,1.7,3543.17,22.9,Occasional,2,1,37,4,0,0,32,Female,Other,Widowed,,17.6
10223,Finance,Finance,2.93,3548.82,52.3,,1,2,39,2,0,1,59,Male,Asian,Widowed,,7.3
10224,Consultant,Operations,0.23,3326.69,23.0,Frequent,3,4,58,5,0,1,47,Other,Other,Widowed,,17.2
10225,Manager,HR,2.1,3412.7,8.2,Occasional,2,4,31,5,1,0,34,Female,White,Single,,13.5
10226,HR,Consulting,0.6,1500.0,30.7,Frequent,1,3,42,4,1,1,24,Male,Asian,Widowed,,1.9
10227,Consultant,Technology,2.56,4486.04,7.8,,5,2,5,2,0,0,63,Female,Other,Single,,8.3
10228,Developer,Consulting,3.04,2985.34,37.7,Frequent,1,5,56,3,0,0,62,Female,Asian,Married,,17.8
10229,Operations,HR,2.44,2067.68,6.6,,2,5,52,2,1,0,43,Male,Mixed,Single,,8.6
10230,Finance,Operations,4.02,4903.83,34.4,,2,1,26,3,1,1,19,Other,White,Divorced,Mental,38.3
10231,Developer,HR,1.23,2701.58,10.8,Frequent,3,3,34,5,0,0,46,Female,Asian,Divorced,,11.9
10232,Consultant,Technology,4.35,3593.6,24.7,Frequent,5,4,20,5,0,1,23,Male,Black,Married,,10.2
10233,Finance,Finance,1.7,5759.73,30.9,,1,4,19,2,1,0,50,Female,Mixed,Divorced,,17.8
10234,HR,Consulting,1.99,2308.94,19.5,Frequent,2,1,18,5,0,1,55,Other,White,Widowed,Physical,17.8
10235,Consultant,Operations,3.13,2160.88,11.8,Occasional,1,5,32,4,0,0,18,Other,Mixed,Divorced,,19.0
10236,Developer,Finance,0.06,4323.17,20.1,Occasional,4,5,55,1,1,0,27,Male,Black,Single,,14.9
10237,Analyst,HR,3.18,5379.38,14.8,Frequent,5,4,3,3,0,1,48,Other,White,Widowed,,44.0
10238,Manager,Operations,2.89,2110.79,16.9,Frequent,5,1,59,5,0,0,41,Female,Mixed,Divorced,,15.2
